quarter,series,region,label,value
2019Q1,urban,Aktobe,Ақтөбе,35563.0
2019Q1,urban,Almaty oblast,Алматы,22202.0
2019Q1,urban,Atyrau,Атырау,46594.0
2019Q1,urban,West Kazakhstan,Батыс Қазақстан,32915.0
2019Q1,urban,Zhambyl,Жамбыл,42507.0
2019Q1,urban,Karaganda,Қарағанды,67107.0
2019Q1,urban,Kostanay,Қостанай,20886.0
2019Q1,urban,Kyzylorda,Қызылорда,24851.0
2019Q1,urban,Mangistau,Маңғыстау,3812.0
2019Q1,urban,Pavlodar,Павлодар,28364.0
2019Q1,urban,North Kazakhstan,Солтүстік Қазақстан,52573.0
2019Q1,urban,East Kazakhstan,Шығыс Қазақстан,35988.0
2019Q1,urban,Astana,Нұр-Сұлтан қаласы,33345.0
2019Q1,urban,Almaty city,Алматы қаласы,21064.0
2019Q2,all,Akmola,Ақмола,45260.0
2019Q2,all,Aktobe,Ақтөбе,30452.0
2019Q2,all,Almaty oblast,Алматы,23864.0
2019Q2,all,Atyrau,Атырау,37935.0
2019Q2,all,West Kazakhstan,Батыс Қазақстан,30256.0
2019Q2,all,Zhambyl,Жамбыл,18671.0
2019Q2,all,Karaganda,Қарағанды,65235.0
2019Q2,all,Kostanay,Қостанай,19978.0
2019Q2,all,Kyzylorda,Қызылорда,42556.0
2019Q2,all,Mangistau,Маңғыстау,2691.0
2019Q2,all,Pavlodar,Павлодар,24142.0
2019Q2,all,North Kazakhstan,Солтүстік Қазақстан,30982.0
2019Q2,all,East Kazakhstan,Шығыс Қазақстан,24430.0
2019Q2,all,Astana,Нұр-Сұлтан қаласы,32832.0
2019Q2,all,Almaty city,Алматы қаласы,11095.0
2019Q2,urban,Akmola,Ақмола,51932.0
2019Q2,urban,Aktobe,Ақтөбе,32391.0
2019Q2,urban,Almaty oblast,Алматы,27245.0
2019Q2,urban,Atyrau,Атырау,52053.0
2019Q2,urban,West Kazakhstan,Батыс Қазақстан,32762.0
2019Q2,urban,Zhambyl,Жамбыл,29031.0
2019Q2,urban,Karaganda,Қарағанды,66487.0
2019Q2,urban,Kostanay,Қостанай,20365.0
2019Q2,urban,Kyzylorda,Қызылорда,32800.0
2019Q2,urban,Mangistau,Маңғыстау,1606.0
2019Q2,urban,Pavlodar,Павлодар,22338.0
2019Q2,urban,North Kazakhstan,Солтүстік Қазақстан,47295.0
2019Q2,urban,East Kazakhstan,Шығыс Қазақстан,31409.0
2019Q2,urban,Astana,Нұр-Сұлтан қаласы,32832.0
2019Q2,urban,Almaty city,Алматы қаласы,11095.0
2019Q3,all,Akmola,Ақмола,46091.0
2019Q3,all,Aktobe,Ақтөбе,29095.0
2019Q3,all,Almaty oblast,Алматы,24067.0
2019Q3,all,Atyrau,Атырау,34456.0
2019Q3,all,West Kazakhstan,Батыс Қазақстан,24464.0
2019Q3,all,Zhambyl,Жамбыл,22458.0
2019Q3,all,Karaganda,Қарағанды,61974.0
2019Q3,all,Kostanay,Қостанай,20873.0
2019Q3,all,Kyzylorda,Қызылорда,39422.0
2019Q3,all,Mangistau,Маңғыстау,3225.0
2019Q3,all,Pavlodar,Павлодар,26773.0
2019Q3,all,North Kazakhstan,Солтүстік Қазақстан,32120.0
2019Q3,all,East Kazakhstan,Шығыс Қазақстан,21629.0
2019Q3,all,Astana,Нұр-Сұлтан қаласы,33053.0
2019Q3,all,Almaty city,Алматы қаласы,5856.0
2019Q3,urban,Akmola,Ақмола,55345.0
2019Q3,urban,Aktobe,Ақтөбе,31817.0
2019Q3,urban,Almaty oblast,Алматы,37799.0
2019Q3,urban,Atyrau,Атырау,47801.0
2019Q3,urban,West Kazakhstan,Батыс Қазақстан,24832.0
2019Q3,urban,Zhambyl,Жамбыл,28684.0
2019Q3,urban,Karaganda,Қарағанды,63162.0
2019Q3,urban,Kostanay,Қостанай,21536.0
2019Q3,urban,Kyzylorda,Қызылорда,29024.0
2019Q3,urban,Mangistau,Маңғыстау,1484.0
2019Q3,urban,Pavlodar,Павлодар,25045.0
2019Q3,urban,North Kazakhstan,Солтүстік Қазақстан,46862.0
2019Q3,urban,East Kazakhstan,Шығыс Қазақстан,26148.0
2019Q3,urban,Astana,Нұр-Сұлтан қаласы,33053.0
2019Q3,urban,Almaty city,Алматы қаласы,5856.0
2019Q4,all,Akmola,Ақмола,48570.0
2019Q4,all,Aktobe,Ақтөбе,32196.0
2019Q4,all,Almaty oblast,Алматы,20681.0
2019Q4,all,Atyrau,Атырау,36834.0
2019Q4,all,West Kazakhstan,Батыс Қазақстан,22321.0
2019Q4,all,Zhambyl,Жамбыл,17178.0
2019Q4,all,Karaganda,Қарағанды,65188.0
2019Q4,all,Kostanay,Қостанай,20740.0
2019Q4,all,Kyzylorda,Қызылорда,36450.0
2019Q4,all,Mangistau,Маңғыстау,2807.0
2019Q4,all,Pavlodar,Павлодар,22777.0
2019Q4,all,North Kazakhstan,Солтүстік Қазақстан,32352.0
2019Q4,all,East Kazakhstan,Шығыс Қазақстан,22608.0
2019Q4,all,Astana,Нұр-Сұлтан қаласы,29856.0
2019Q4,all,Almaty city,Алматы қаласы,3645.0
2019Q4,urban,Akmola,Ақмола,56193.0
2019Q4,urban,Aktobe,Ақтөбе,33968.0
2019Q4,urban,Almaty oblast,Алматы,31468.0
2019Q4,urban,Atyrau,Атырау,53968.0
2019Q4,urban,West Kazakhstan,Батыс Қазақстан,20569.0
2019Q4,urban,Zhambyl,Жамбыл,22524.0
2019Q4,urban,Karaganda,Қарағанды,66126.0
2019Q4,urban,Kostanay,Қостанай,20481.0
2019Q4,urban,Kyzylorda,Қызылорда,26606.0
2019Q4,urban,Mangistau,Маңғыстау,997.0
2019Q4,urban,Pavlodar,Павлодар,20483.0
2019Q4,urban,North Kazakhstan,Солтүстік Қазақстан,45244.0
2019Q4,urban,East Kazakhstan,Шығыс Қазақстан,29089.0
2019Q4,urban,Astana,Нұр-Сұлтан қаласы,29856.0
2019Q4,urban,Almaty city,Алматы қаласы,3645.0
