quarter,series,region,label,value
2015Q4,all,Mangistau,Маңғыстау,13183.0
2015Q4,all,Pavlodar,Павлодар,6349.0
2015Q4,all,North Kazakhstan,Солтүстік Қазақстан,21344.0
2015Q4,all,East Kazakhstan,Шығыс Қазақстан,14109.0
2015Q4,all,Astana,Астана қаласы,1329.0
2015Q4,all,Almaty city,Алматы қаласы,4803.0
2015Q4,urban,Akmola,Ақмола,43072.0
2015Q4,urban,Aktobe,Ақтөбе,20653.0
2015Q4,urban,Almaty oblast,Алматы,14905.0
2015Q4,urban,Atyrau,Атырау,25164.0
2015Q4,urban,West Kazakhstan,Батыс Қазақстан,18776.0
2015Q4,urban,Zhambyl,Жамбыл,6377.0
2015Q4,urban,Karaganda,Қарағанды,36947.0
2015Q4,urban,Kostanay,Қостанай,23650.0
2015Q4,urban,Kyzylorda,Қызылорда,49067.0
2015Q4,urban,Mangistau,Маңғыстау,14625.0
2015Q4,urban,Pavlodar,Павлодар,3856.0
2015Q4,urban,North Kazakhstan,Солтүстік Қазақстан,28664.0
2015Q4,urban,East Kazakhstan,Шығыс Қазақстан,18819.0
2015Q4,urban,Astana,Астана қаласы,1329.0
2015Q4,urban,Almaty city,Алматы қаласы,4803.0
2016Q1,all,Akmola,Ақмола,35737.0
2016Q1,all,Aktobe,Ақтөбе,25976.0
2016Q1,all,Almaty oblast,Алматы,15733.0
2016Q1,all,Atyrau,Атырау,28622.0
2016Q1,all,West Kazakhstan,Батыс Қазақстан,21954.0
2016Q1,all,Zhambyl,Жамбыл,4861.0
2016Q1,all,Karaganda,Қарағанды,38429.0
2016Q1,all,Kostanay,Қостанай,18662.0
2016Q1,all,Kyzylorda,Қызылорда,29196.0
2016Q1,all,Mangistau,Маңғыстау,14926.0
2016Q1,all,Pavlodar,Павлодар,5374.0
2016Q1,all,North Kazakhstan,Солтүстік Қазақстан,22296.0
2016Q1,all,East Kazakhstan,Шығыс Қазақстан,15827.0
2016Q1,all,Astana,Астана қаласы,2483.0
2016Q1,all,Almaty city,Алматы қаласы,9025.0
2016Q1,urban,Akmola,Ақмола,50133.0
2016Q1,urban,Aktobe,Ақтөбе,22305.0
2016Q1,urban,Almaty oblast,Алматы,14347.0
2016Q1,urban,Atyrau,Атырау,36206.0
2016Q1,urban,West Kazakhstan,Батыс Қазақстан,27362.0
2016Q1,urban,Zhambyl,Жамбыл,4585.0
2016Q1,urban,Karaganda,Қарағанды,37279.0
2016Q1,urban,Kostanay,Қостанай,19967.0
2016Q1,urban,Kyzylorda,Қызылорда,48985.0
2016Q1,urban,Mangistau,Маңғыстау,17545.0
2016Q1,urban,Pavlodar,Павлодар,2092.0
2016Q1,urban,North Kazakhstan,Солтүстік Қазақстан,32910.0
2016Q1,urban,East Kazakhstan,Шығыс Қазақстан,21617.0
2016Q1,urban,Astana,Астана қаласы,2483.0
2016Q1,urban,Almaty city,Алматы қаласы,9025.0
2016Q2,all,Akmola,Ақмола,32809.0
2016Q2,all,Aktobe,Ақтөбе,23745.0
2016Q2,all,Almaty oblast,Алматы,15967.0
2016Q2,all,Atyrau,Атырау,28623.0
2016Q2,all,West Kazakhstan,Батыс Қазақстан,22064.0
2016Q2,all,Zhambyl,Жамбыл,5152.0
2016Q2,all,Karaganda,Қарағанды,39400.0
2016Q2,all,Kostanay,Қостанай,18950.0
2016Q2,all,Kyzylorda,Қызылорда,27432.0
2016Q2,all,Mangistau,Маңғыстау,14416.0
2016Q2,all,Pavlodar,Павлодар,5575.0
2016Q2,all,North Kazakhstan,Солтүстік Қазақстан,18988.0
2016Q2,all,East Kazakhstan,Шығыс Қазақстан,15205.0
2016Q2,all,Astana,Астана қаласы,2111.0
2016Q2,all,Almaty city,Алматы қаласы,7842.0
2016Q2,urban,Akmola,Ақмола,40973.0
2016Q2,urban,Aktobe,Ақтөбе,20587.0
2016Q2,urban,Almaty oblast,Алматы,12890.0
2016Q2,urban,Atyrau,Атырау,38322.0
2016Q2,urban,West Kazakhstan,Батыс Қазақстан,27563.0
2016Q2,urban,Zhambyl,Жамбыл,5677.0
2016Q2,urban,Karaganda,Қарағанды,38702.0
2016Q2,urban,Kostanay,Қостанай,21236.0
2016Q2,urban,Kyzylorda,Қызылорда,46911.0
2016Q2,urban,Mangistau,Маңғыстау,17484.0
2016Q2,urban,Pavlodar,Павлодар,2415.0
2016Q2,urban,North Kazakhstan,Солтүстік Қазақстан,28051.0
2016Q2,urban,East Kazakhstan,Шығыс Қазақстан,20624.0
2016Q2,urban,Astana,Астана қаласы,2111.0
2016Q2,urban,Almaty city,Алматы қаласы,7842.0
2016Q3,all,Akmola,Ақмола,35315.0
2016Q3,all,Aktobe,Ақтөбе,22992.0
2016Q3,all,Almaty oblast,Алматы,15440.0
2016Q3,all,Atyrau,Атырау,25056.0
2016Q3,all,West Kazakhstan,Батыс Қазақстан,20801.0
2016Q3,all,Zhambyl,Жамбыл,5593.0
2016Q3,all,Karaganda,Қарағанды,34009.0
2016Q3,all,Kostanay,Қостанай,20930.0
2016Q3,all,Kyzylorda,Қызылорда,27504.0
2016Q3,all,Mangistau,Маңғыстау,13803.0
2016Q3,all,Pavlodar,Павлодар,5395.0
2016Q3,all,North Kazakhstan,Солтүстік Қазақстан,17152.0
2016Q3,all,East Kazakhstan,Шығыс Қазақстан,17175.0
2016Q3,all,Astana,Астана қаласы,2302.0
2016Q3,all,Almaty city,Алматы қаласы,6927.0
2016Q3,urban,Akmola,Ақмола,45882.0
2016Q3,urban,Aktobe,Ақтөбе,20449.0
2016Q3,urban,Almaty oblast,Алматы,5457.0
2016Q3,urban,Atyrau,Атырау,32925.0
2016Q3,urban,West Kazakhstan,Батыс Қазақстан,25922.0
2016Q3,urban,Zhambyl,Жамбыл,5961.0
2016Q3,urban,Karaganda,Қарағанды,32352.0
2016Q3,urban,Kostanay,Қостанай,22495.0
2016Q3,urban,Kyzylorda,Қызылорда,44958.0
2016Q3,urban,Mangistau,Маңғыстау,17533.0
2016Q3,urban,Pavlodar,Павлодар,3503.0
2016Q3,urban,North Kazakhstan,Солтүстік Қазақстан,22973.0
2016Q3,urban,East Kazakhstan,Шығыс Қазақстан,23878.0
2016Q3,urban,Astana,Астана қаласы,2302.0
2016Q3,urban,Almaty city,Алматы қаласы,6927.0
2016Q4,all,Akmola,Ақмола,31714.0
2016Q4,all,Aktobe,Ақтөбе,22827.0
2016Q4,all,Almaty oblast,Алматы,13765.0
2016Q4,all,Atyrau,Атырау,23771.0
2016Q4,all,West Kazakhstan,Батыс Қазақстан,21610.0
2016Q4,all,Zhambyl,Жамбыл,4083.0
2016Q4,all,Karaganda,Қарағанды,33798.0
2016Q4,all,Kostanay,Қостанай,17425.0
2016Q4,all,Kyzylorda,Қызылорда,25385.0
2016Q4,all,Mangistau,Маңғыстау,10103.0
2016Q4,all,Pavlodar,Павлодар,4060.0
2016Q4,all,North Kazakhstan,Солтүстік Қазақстан,18970.0
2016Q4,all,East Kazakhstan,Шығыс Қазақстан,16176.0
2016Q4,all,Astana,Астана қаласы,2404.0
2016Q4,all,Almaty city,Алматы қаласы,7768.0
2016Q4,urban,Akmola,Ақмола,40629.0
2016Q4,urban,Aktobe,Ақтөбе,19600.0
2016Q4,urban,Almaty oblast,Алматы,7268.0
2016Q4,urban,Atyrau,Атырау,32843.0
2016Q4,urban,West Kazakhstan,Батыс Қазақстан,25232.0
2016Q4,urban,Zhambyl,Жамбыл,4632.0
2016Q4,urban,Karaganda,Қарағанды,31830.0
2016Q4,urban,Kostanay,Қостанай,19616.0
2016Q4,urban,Kyzylorda,Қызылорда,41678.0
2016Q4,urban,Mangistau,Маңғыстау,14235.0
2016Q4,urban,Pavlodar,Павлодар,2724.0
2016Q4,urban,North Kazakhstan,Солтүстік Қазақстан,25301.0
2016Q4,urban,East Kazakhstan,Шығыс Қазақстан,22070.0
2016Q4,urban,Astana,Астана қаласы,2404.0
2016Q4,urban,Almaty city,Алматы қаласы,7768.0
2017Q1,all,Akmola,Ақмола,35814.0
2017Q1,all,Aktobe,Ақтөбе,31027.0
2017Q1,all,Almaty oblast,Алматы,14959.0
2017Q1,all,Atyrau,Атырау,40455.0
2017Q1,all,West Kazakhstan,Батыс Қазақстан,26410.0
2017Q1,all,Zhambyl,Жамбыл,5747.0
2017Q1,all,Karaganda,Қарағанды,45356.0
2017Q1,all,Kostanay,Қостанай,20350.0
2017Q1,all,Kyzylorda,Қызылорда,26016.0
2017Q1,all,Mangistau,Маңғыстау,5143.0
2017Q1,all,Pavlodar,Павлодар,17598.0
2017Q1,all,North Kazakhstan,Солтүстік Қазақстан,22560.0
2017Q1,all,East Kazakhstan,Шығыс Қазақстан,25447.0
2017Q1,all,Astana,Астана қаласы,7394.0
2017Q1,all,Almaty city,Алматы қаласы,13219.0
2017Q1,urban,Akmola,Ақмола,43499.0
2017Q1,urban,Aktobe,Ақтөбе,31484.0
2017Q1,urban,Almaty oblast,Алматы,12697.0
2017Q1,urban,Atyrau,Атырау,47526.0
2017Q1,urban,West Kazakhstan,Батыс Қазақстан,30340.0
2017Q1,urban,Zhambyl,Жамбыл,6798.0
2017Q1,urban,Karaganda,Қарағанды,43833.0
2017Q1,urban,Kostanay,Қостанай,22188.0
2017Q1,urban,Kyzylorda,Қызылорда,31325.0
2017Q1,urban,Mangistau,Маңғыстау,6520.0
2017Q1,urban,Pavlodar,Павлодар,17799.0
2017Q1,urban,North Kazakhstan,Солтүстік Қазақстан,31835.0
2017Q1,urban,East Kazakhstan,Шығыс Қазақстан,33406.0
2017Q1,urban,Astana,Астана қаласы,7394.0
2017Q1,urban,Almaty city,Алматы қаласы,13219.0
2017Q2,all,Akmola,Ақмола,35489.0
2017Q2,all,Aktobe,Ақтөбе,26993.0
2017Q2,all,Almaty oblast,Алматы,18058.0
2017Q2,all,Atyrau,Атырау,40649.0
2017Q2,all,West Kazakhstan,Батыс Қазақстан,30658.0
2017Q2,all,Zhambyl,Жамбыл,5861.0
2017Q2,all,Karaganda,Қарағанды,43930.0
2017Q2,all,Kostanay,Қостанай,21034.0
2017Q2,all,Kyzylorda,Қызылорда,26275.0
2017Q2,all,Mangistau,Маңғыстау,2538.0
2017Q2,all,Pavlodar,Павлодар,14311.0
2017Q2,all,North Kazakhstan,Солтүстік Қазақстан,22528.0
2017Q2,all,East Kazakhstan,Шығыс Қазақстан,22911.0
2017Q2,all,Astana,Астана қаласы,17134.0
2017Q2,all,Almaty city,Алматы қаласы,10294.0
2017Q2,urban,Akmola,Ақмола,43072.0
2017Q2,urban,Aktobe,Ақтөбе,22568.0
2017Q2,urban,Almaty oblast,Алматы,24193.0
2017Q2,urban,Atyrau,Атырау,48385.0
2017Q2,urban,West Kazakhstan,Батыс Қазақстан,40626.0
2017Q2,urban,Zhambyl,Жамбыл,5898.0
2017Q2,urban,Karaganda,Қарағанды,43198.0
2017Q2,urban,Kostanay,Қостанай,24394.0
2017Q2,urban,Kyzylorda,Қызылорда,33572.0
